user_id,session_count,total_impressions,total_clicks,history_length,overall_ctr,total_articles_consumed,autos_share,entertainment_share,finance_share,foodanddrink_share,health_share,kids_share,lifestyle_share,middleeast_share,movies_share,music_share,news_share,northamerica_share,sports_share,travel_share,tv_share,video_share,weather_share,content_entropy,dominant_category_share,dominant_category,categories_engaged
U100,1,105,1,10,0.009523809523809525,11,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.18181818181818182,0.0,0.18181818181818182,0.0,0.36363636363636365,0.0,0.0,1.5157079520857129,0.36363636363636365,tv,5
U10001,2,84,3,15,0.03571428571428571,18,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.0,0.5555555555555556,0.05555555555555555,0.05555555555555555,0.0,0.0,1.4280557692325653,0.5555555555555556,sports,7
U10003,2,106,3,8,0.02830188679245283,11,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.36363636363636365,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1.6417347121875212,0.36363636363636365,news,6
U10008,1,72,1,23,0.013888888888888888,24,0.0,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.4583333333333333,0.0,0.041666666666666664,0.041666666666666664,0.125,0.0,0.16666666666666666,1.6528806356652015,0.4583333333333333,news,8
U10011,2,47,4,10,0.0851063829787234,14,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.42857142857142855,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,1.5367224694372192,0.42857142857142855,news,6
U10012,3,237,3,20,0.012658227848101266,21,0.0,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.19047619047619047,0.0,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.047619047619047616,2.004479023231639,0.2857142857142857,news,9
U10017,2,61,4,25,0.06557377049180328,29,0.0,0.0,0.1724137931034483,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.034482758620689655,0.0,0.2413793103448276,0.0,0.3793103448275862,0.0,0.06896551724137931,0.0,0.0,1.6149510945182137,0.3793103448275862,sports,7
U1002,2,60,2,12,0.03333333333333333,14,0.0,0.21428571428571427,0.0,0.07142857142857142,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0,0.0,0.0,0.21428571428571427,0.07142857142857142,0.0,1.8337855468200532,0.21428571428571427,entertainment,7
U10022,6,225,11,37,0.04888888888888889,48,0.020833333333333332,0.020833333333333332,0.041666666666666664,0.0,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0625,0.08333333333333333,0.10416666666666667,0.0,0.4791666666666667,0.0,0.0625,0.0,0.0,1.7749890552464636,0.4791666666666667,sports,10
U10023,4,264,7,17,0.026515151515151516,23,0.08695652173913043,0.0,0.043478260869565216,0.0,0.08695652173913043,0.0,0.6956521739130435,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,1.0861895081867026,0.6956521739130435,lifestyle,6
U10025,3,131,10,38,0.07633587786259542,48,0.020833333333333332,0.2916666666666667,0.0,0.041666666666666664,0.10416666666666667,0.0,0.10416666666666667,0.0,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.0,0.020833333333333332,0.0,0.14583333333333334,0.0,0.020833333333333332,2.0491808400924705,0.2916666666666667,entertainment,11
U10027,7,427,18,98,0.04215456674473068,114,0.008771929824561403,0.008771929824561403,0.16666666666666666,0.017543859649122806,0.24561403508771928,0.0,0.07017543859649122,0.0,0.02631578947368421,0.0,0.35964912280701755,0.0,0.043859649122807015,0.03508771929824561,0.017543859649122806,0.0,0.0,1.7730506716201309,0.35964912280701755,news,11
U1003,5,203,5,13,0.024630541871921183,18,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.3333333333333333,0.0,0.05555555555555555,0.0,0.2222222222222222,0.0,0.16666666666666666,0.0,0.05555555555555555,0.0,0.0,1.8019511397932635,0.3333333333333333,lifestyle,8
U10030,4,46,4,6,0.08695652173913043,10,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.2,1.4708084763221114,0.4,sports,5
U10032,3,337,9,8,0.026706231454005934,17,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.17647058823529413,0.11764705882352941,0.0,0.29411764705882354,0.0,0.23529411764705882,0.0,0.0,1.6766961325918528,0.29411764705882354,sports,6
U10034,4,59,5,8,0.0847457627118644,12,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.4451858789480823,0.3333333333333333,news,5
U10039,6,121,6,29,0.049586776859504134,35,0.05714285714285714,0.0,0.08571428571428572,0.02857142857142857,0.0,0.0,0.11428571428571428,0.0,0.02857142857142857,0.0,0.4,0.0,0.14285714285714285,0.08571428571428572,0.02857142857142857,0.0,0.02857142857142857,1.883429841078207,0.4,news,10
U1004,1,54,2,16,0.037037037037037035,18,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.2777777777777778,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,1.6111578173439172,0.2777777777777778,entertainment,6
U10042,2,55,3,15,0.05454545454545454,18,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.2777777777777778,0.0,0.0,0.05555555555555555,0.3333333333333333,0.0,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,1.7690361613040135,0.3333333333333333,news,8
U10043,4,144,5,27,0.034722222222222224,32,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78125,0.0,0.03125,0.03125,0.0,0.125,0.0,0.7777023694814584,0.78125,news,5
